User_ID,Run_Number,SQL_File,Run_Time
3,2,15,0.4096088409423828
2,2,15,0.4181969165802002
4,2,15,0.41413402557373047
2,2,17,0.32935404777526855
4,2,17,0.3480808734893799
1,2,17,0.3687748908996582
3,2,17,0.3782999515533447
1,2,16,0.37954211235046387
2,2,16,0.3985888957977295
3,2,16,0.46729588508605957
4,2,16,0.5663259029388428
1,2,12,0.3355119228363037
3,2,12,0.3685610294342041
2,2,12,0.3810420036315918
4,2,12,0.38544416427612305
4,2,13,0.3236539363861084
2,2,13,0.42038607597351074
3,2,13,0.4475271701812744
1,2,13,0.7614860534667969
3,2,11,0.42687201499938965
4,2,11,0.45236992835998535
1,2,11,0.506605863571167
2,2,11,0.5280680656433105
2,2,10,0.618117094039917
1,2,10,0.6579389572143555
4,2,10,0.6737790107727051
3,2,10,1.0157928466796875
1,3,21,0.3583869934082031
2,3,21,0.3976109027862549
3,3,21,0.45708537101745605
4,3,21,1.1353099346160889
3,3,20,0.34572291374206543
1,3,20,0.4085519313812256
4,3,20,0.41356492042541504
2,3,20,0.4781038761138916
2,3,22,0.3877067565917969
3,3,22,0.397719144821167
1,3,22,0.40734100341796875
4,3,22,0.4429953098297119
1,3,18,0.5296990871429443
3,3,18,0.5806581974029541
4,3,18,0.5809299945831299
2,3,18,0.6299130916595459
3,3,19,0.48704099655151367
1,3,19,0.49950408935546875
4,3,19,0.497539758682251
2,3,19,0.508328914642334
2,3,4,0.35190701484680176
1,3,4,0.3691089153289795
3,3,4,0.41910505294799805
4,3,4,0.41564297676086426
3,3,5,0.6865170001983643
1,3,5,0.7111680507659912
2,3,5,0.7132909297943115
4,3,5,0.7108659744262695
2,3,7,0.37532687187194824
4,3,7,0.42157578468322754
3,3,7,0.43039608001708984
1,3,7,0.5820701122283936
4,3,6,0.4004800319671631
2,3,6,0.42960405349731445
1,3,6,0.4311079978942871
3,3,6,0.43036580085754395
4,3,2,0.6068270206451416
1,3,2,0.6131229400634766
2,3,2,0.6181299686431885
3,3,2,0.6179208755493164
4,3,3,0.46912527084350586
2,3,3,0.47906994819641113
3,3,3,0.4971179962158203
1,3,3,0.5911779403686523
4,3,1,0.3465728759765625
3,3,1,0.3752100467681885
1,3,1,0.3778517246246338
2,3,1,0.386152982711792
2,3,8,0.5181999206542969
1,3,8,0.53951096534729
3,3,8,0.5390980243682861
4,3,8,0.5543110370635986
1,3,9,0.5302550792694092
4,3,9,0.5352902412414551
2,3,9,0.5483222007751465
3,3,9,0.6083147525787354
1,3,14,0.36753273010253906
3,3,14,0.37749195098876953
2,3,14,0.3874340057373047
4,3,14,0.4251399040222168
1,3,15,0.36834287643432617
3,3,15,0.3870558738708496
4,3,15,0.405775785446167
2,3,15,0.4187777042388916
3,3,17,0.42010927200317383
1,3,17,0.42270517349243164
4,3,17,0.4355928897857666
2,3,17,0.4492378234863281
4,3,16,0.5272829532623291
3,3,16,0.5280110836029053
1,3,16,0.5521290302276611
2,3,16,0.5524909496307373
2,3,12,0.3590738773345947
1,3,12,0.3775298595428467
3,3,12,0.40483689308166504
4,3,12,0.4127159118652344
4,3,13,0.3570718765258789
2,3,13,0.3894500732421875
1,3,13,0.3987569808959961
3,3,13,0.4092721939086914
4,3,11,0.6498942375183105
1,3,11,0.6585662364959717
2,3,11,0.6889286041259766
3,3,11,0.7480709552764893
2,3,10,0.3483161926269531
1,3,10,0.36850404739379883
4,3,10,0.39855480194091797
3,3,10,0.40133213996887207
1,4,21,0.3951840400695801
2,4,21,0.4753749370574951
4,4,21,0.492279052734375
3,4,21,0.7149310111999512
3,4,20,0.4488539695739746
4,4,20,0.44683098793029785
2,4,20,0.4628579616546631
1,4,20,0.48658299446105957
4,4,22,0.5454001426696777
1,4,22,0.5597977638244629
3,4,22,0.5697500705718994
2,4,22,0.5708279609680176
4,4,18,0.40389013290405273
2,4,18,0.40929412841796875
1,4,18,0.42771100997924805
3,4,18,0.44696688652038574
1,4,19,0.3504619598388672
3,4,19,0.37184810638427734
4,4,19,0.36938905715942383
2,4,19,0.389693021774292
3,4,4,0.3346259593963623
2,4,4,0.3484928607940674
4,4,4,0.38590383529663086
1,4,4,0.3898961544036865
3,4,5,0.49891090393066406
2,4,5,0.5068140029907227
1,4,5,0.5079488754272461
4,4,5,0.5136651992797852
1,4,7,0.5046238899230957
4,4,7,0.5039968490600586
3,4,7,0.5182700157165527
2,4,7,0.5201950073242188
3,4,6,0.35747289657592773
2,4,6,0.3609001636505127
1,4,6,0.39955782890319824
4,4,6,0.40473198890686035
4,4,2,0.3384079933166504
1,4,2,0.37020087242126465
2,4,2,0.4000132083892822
3,4,2,0.5375330448150635
3,4,3,0.3469240665435791
1,4,3,0.35922718048095703
2,4,3,0.38907694816589355
4,4,3,0.4257850646972656
2,4,1,0.3776059150695801
1,4,1,0.40792107582092285
3,4,1,0.42736315727233887
4,4,1,0.43573498725891113
3,4,8,0.4190821647644043
2,4,8,0.4205617904663086
1,4,8,0.4496579170227051
4,4,8,0.48677515983581543
2,4,9,0.43062806129455566
4,4,9,0.430156946182251
3,4,9,0.429948091506958
1,4,9,0.4382920265197754
1,4,14,0.40986013412475586
3,4,14,0.41768503189086914
4,4,14,0.43045997619628906
2,4,14,0.4343240261077881
1,4,15,0.47484612464904785
3,4,15,0.4861571788787842
4,4,15,0.4808681011199951
2,4,15,0.4866659641265869
1,4,17,0.40637779235839844
4,4,17,0.416597843170166
2,4,17,0.42134809494018555
3,4,17,0.49567699432373047
3,4,16,0.41831278800964355
2,4,16,0.43845200538635254
1,4,16,0.4484851360321045
4,4,16,0.4807591438293457
4,4,12,0.3411710262298584
1,4,12,0.3641936779022217
3,4,12,0.39345216751098633
2,4,12,0.5042827129364014
4,4,13,0.386641263961792
2,4,13,0.3896358013153076
3,4,13,0.4067509174346924
1,4,13,0.5819098949432373
4,4,11,0.4245338439941406
2,4,11,0.441967248916626
3,4,11,0.47632575035095215
1,4,11,0.4771561622619629
1,4,10,0.42832207679748535
2,4,10,0.4582021236419678
3,4,10,0.49722719192504883
4,4,10,0.5228300094604492
2,5,21,0.3376281261444092
3,5,21,0.3602287769317627
4,5,21,0.36386609077453613
1,5,21,0.41861605644226074
4,5,20,0.4356222152709961
1,5,20,0.5097401142120361
3,5,20,0.5163989067077637
2,5,20,0.5561637878417969
3,5,22,0.3826112747192383
2,5,22,0.4306037425994873
4,5,22,0.43535709381103516
1,5,22,0.49192237854003906
4,5,18,0.36498403549194336
1,5,18,0.4011962413787842
2,5,18,0.40165209770202637
3,5,18,0.4257938861846924
4,5,19,0.34719371795654297
3,5,19,0.42934179306030273
1,5,19,0.4494190216064453
2,5,19,0.458845853805542
2,5,4,0.390794038772583
1,5,4,0.3935983180999756
4,5,4,0.49674201011657715
3,5,4,0.7281861305236816
1,5,5,0.3884580135345459
4,5,5,0.4341158866882324
2,5,5,0.44750213623046875
3,5,5,0.8865931034088135
3,5,7,0.41735291481018066
1,5,7,0.4184713363647461
2,5,7,0.4189770221710205
4,5,7,0.4212789535522461
2,5,6,0.3296928405761719
3,5,6,0.33963799476623535
1,5,6,0.45103931427001953
4,5,6,0.4575190544128418
3,5,2,0.7609047889709473
4,5,2,0.7563629150390625
2,5,2,0.7697508335113525
1,5,2,0.7710831165313721
4,5,3,0.3643507957458496
2,5,3,0.37488508224487305
3,5,3,0.4148101806640625
1,5,3,0.44681882858276367
3,5,1,0.37856292724609375
2,5,1,0.3943819999694824
1,5,1,0.4191410541534424
4,5,1,0.4373819828033447
4,5,8,0.508033037185669
3,5,8,0.5120058059692383
1,5,8,0.5287339687347412
2,5,8,0.5595910549163818
1,5,9,0.5792980194091797
2,5,9,0.5894038677215576
4,5,9,0.584895133972168
3,5,9,0.5969710350036621
1,5,14,0.30950093269348145
2,5,14,0.38049817085266113
3,5,14,0.4189920425415039
4,5,14,0.42673587799072266
4,5,15,0.3410191535949707
2,5,15,0.3814971446990967
3,5,15,0.4610598087310791
1,5,15,0.5219833850860596
3,5,17,0.368145227432251
4,5,17,0.4109010696411133
2,5,17,0.41227197647094727
1,5,17,0.5063960552215576
4,5,16,0.38923001289367676
1,5,16,0.43050098419189453
3,5,16,0.4519810676574707
2,5,16,0.6214730739593506
4,5,12,0.35224390029907227
1,5,12,0.3666832447052002
2,5,12,0.42505908012390137
3,5,12,0.44620394706726074
3,5,13,0.345689058303833
4,5,13,0.37389111518859863
2,5,13,0.3882160186767578
1,5,13,0.4183480739593506
4,5,11,0.5264360904693604
1,5,11,0.5685601234436035
3,5,11,0.6071276664733887
2,5,11,0.6406688690185547
4,5,10,0.6056818962097168
2,5,10,0.6118810176849365
3,5,10,0.6359279155731201
1,5,10,0.6434957981109619
2,6,21,0.4318408966064453
3,6,21,0.4405488967895508
1,6,21,0.4514908790588379
4,6,21,0.4882030487060547
3,6,20,0.4280967712402344
2,6,20,0.4424569606781006
1,6,20,0.4498178958892822
4,6,20,0.5075688362121582
3,6,22,0.5188760757446289
1,6,22,0.5296130180358887
2,6,22,0.5293600559234619
4,6,22,0.5475962162017822
2,6,18,0.3896830081939697
1,6,18,0.41880011558532715
3,6,18,0.4694099426269531
4,6,18,0.4694819450378418
4,6,19,0.3900890350341797
3,6,19,0.3969097137451172
2,6,19,0.42722606658935547
1,6,19,0.42746496200561523
1,6,4,0.39272308349609375
2,6,4,0.42740726470947266
3,6,4,0.43691301345825195
4,6,4,0.4561800956726074
3,6,5,0.5982792377471924
4,6,5,0.618156909942627
1,6,5,0.6207342147827148
2,6,5,0.6299028396606445
4,6,7,0.38240575790405273
2,6,7,0.3997161388397217
1,6,7,0.4085268974304199
3,6,7,0.6249608993530273
2,6,6,0.33022189140319824
4,6,6,0.3477168083190918
1,6,6,0.35892796516418457
3,6,6,0.4903900623321533
3,6,2,0.7271533012390137
4,6,2,0.7456679344177246
1,6,2,0.7804899215698242
2,6,2,0.7981300354003906
2,6,3,0.39582014083862305
1,6,3,0.40610194206237793
4,6,3,0.4153609275817871
3,6,3,0.46460580825805664
3,6,1,0.3797450065612793
4,6,1,0.37700510025024414
1,6,1,0.38917088508605957
2,6,1,0.4206831455230713
4,6,8,0.536733865737915
1,6,8,0.5478420257568359
2,6,8,0.5683050155639648
3,6,8,0.5764880180358887
2,6,9,0.5973341464996338
3,6,9,0.615919828414917
1,6,9,0.6392221450805664
4,6,9,0.644942045211792
4,6,14,1.2463622093200684
1,6,14,1.2693228721618652
2,6,14,1.3490290641784668
3,6,14,1.3635790348052979
4,6,15,0.40400218963623047
1,6,15,0.4081699848175049
2,6,15,0.43540191650390625
3,6,15,0.8659241199493408
3,6,17,1.0626208782196045
2,6,17,1.0758371353149414
4,6,17,1.08272123336792
1,6,17,1.1163289546966553
3,6,16,0.5066361427307129
4,6,16,0.5127837657928467
1,6,16,0.538520097732544
2,6,16,0.5877020359039307
2,6,12,0.41070103645324707
1,6,12,0.48909974098205566
3,6,12,0.4988131523132324
4,6,12,0.5058739185333252
2,6,13,0.5611059665679932
1,6,13,0.5617661476135254
3,6,13,0.5805268287658691
4,6,13,0.6239948272705078
3,6,11,1.2550299167633057
2,6,11,1.2559261322021484
1,6,11,1.2658638954162598
4,6,11,1.263725996017456
3,6,10,0.9459140300750732
1,6,10,0.9688770771026611
4,6,10,0.966644287109375
2,6,10,1.0465221405029297
